slug,name,notes
hunt-hollow-club,Hunt Hollow Ski Club,no wikipedia article
jack-frost-mountain,Jack Frost Mountain,vail-owned; no wiki article found
jackson-xc,Jackson XC,nordic only
kelly-canyon,Kelly Canyon Ski Resort,no wikipedia article
kissing-bridge,Kissing Bridge,no wikipedia infobox; small NY hill
labrador-mountain,Labrador Mountain,no wikipedia article found
lake-city-ski-hill,Lake City Ski Hill,no wikipedia article; very small CO hill
leavenworth-ski-hill,Leavenworth Ski Hill,historic hill; no breakdown available
leavenworth-winter-sports-club,Leavenworth Winter Sports Club,duplicate of Leavenworth Ski Hill; no breakdown
lees-ski-hill,Lee's Ski Hill,tiny municipal hill in Ouray CO; no public breakdown
little-ski-hill,Little Ski Hill,no breakdown; primarily nordic/jumping
loge-glacier,LOGE Glacier,not a ski area; lodging operator near Glacier
lost-valley,Lost Valley,no wikipedia article
lyndon-outing-club,Lyndon Outing Club,no wikipedia article; tiny VT club hill
magic-mountain-id,Magic Mountain Resort,no wikipedia article; small ID hill
maple-ski-ridge,Maple Ski Ridge,no wikipedia article; small NY hill
maplelag,Maplelag Resort,nordic/cross-country only; not alpine
massanutten-resort,Massanutten Resort,no wikipedia infobox; site has no public breakdown
meadowlark,Meadowlark Ski Lodge,no wikipedia article; small WY lodge
minocqua-winter-park,Minocqua Winter Park,nordic park; not alpine resort
mission-ridge,Mission Ridge Ski & Board Resort,wikipedia article not found at this slug
mount-itasca,Mount Itasca,no wikipedia article
mount-jefferson-ski-area,Mount Jefferson Ski Area,no wikipedia article
mount-la-crosse,Mount La Crosse,no wikipedia ski-area article
mount-peter,Mount Peter,no wikipedia ski-area article
mt-la-crosse,Mt La Crosse,no wikipedia ski-area article
mount-ashwabay,Mt. Ashwabay,no wikipedia article
mt-crescent,Mt. Crescent Ski Area,no wikipedia article
mt-holiday,Mt. Holiday,no wikipedia article
mount-holly,Mt. Holly,no wikipedia article
mt-lemmon-ski-valley,Mt. Lemmon Ski Valley,wikipedia has no infobox; small AZ hill
mystic-mountain,Mystic Mountain,no wikipedia article; small Nemacolin resort hill
nordic-mountain,Nordic Mountain,no wikipedia article
north-cascade-heli,North Cascade Heli,heli-ski operator; no fixed trails
northern-maine-community-trails,Northern Maine Community Trails,community trail system; not an alpine resort
norway-mountain,Norway Mountain,no wikipedia article; closed/inactive
oak-mountain,Oak Mountain,no wikipedia article; small NY hill
oglebay-resort,Oglebay Resort,no wikipedia infobox; no public breakdown
otis-ridge,Otis Ridge,wiki gives total 11 only; no breakdown
otsego-resort,Otsego Resort,no wikipedia article; no breakdown
paul-bunyan-hill,Paul Bunyan Ski Hill,no wikipedia article
pico-mountain,Pico Mountain,wiki gives 58 total only; no breakdown; closed for 25/26 season
pine-mountain,Pine Mountain Resort,no wikipedia article; no public breakdown
plain-valley-trails,Plain Valley Ski Trails,nordic-only trail center; no public breakdown
shawnee-peak,Pleasant Mountain,wiki article minimal; no public breakdown
porcupine-mountains,Porcupine Mountains Ski Area,no wiki infobox; no public breakdown
powder-ridge-mountain-park,Powder Ridge Mountain Park & Resort,no wikipedia article; no public breakdown
powder-ridge,Powder Ridge Winter Recreation Area,no wikipedia article; no public breakdown
powderhorn,Powderhorn Resort,no wikipedia infobox; no public breakdown
powderhouse-hill,Powderhouse Hill,no wikipedia article; tiny ME hill
quarry-road-trails,Quarry Road Trails,nordic-only trail center; no public breakdown
quechee-club,Quechee Club,no wikipedia article; private club
rangeley-lakes-trail-center,Rangeley Lakes Trail Center,nordic-only trail center; no public breakdown
red-river-ski-area,Red River Ski & Summer Area,no wikipedia infobox; no public breakdown
rikert-nordic-center,Rikert Nordic Center,nordic-only center
rikert-outdoor-center,Rikert Outdoor Center,nordic-only center
rotarun,Rotarun Ski Area,no wikipedia article; tiny ID community hill
royal-mountain,Royal Mountain,no wikipedia article; small NY hill
sapphire-valley-resort,Sapphire Valley Resort,no wikipedia article; small NC hill
schuss-shanty-creek,Schuss Mountain at Shanty Creek,no wikipedia article; site lists 42 total + 2 parks but no breakdown
seven-oaks,Seven Oaks Recreation,no wikipedia article; small IA hill
showdown,Showdown Montana,no wikipedia infobox; no public breakdown
skaneateles-club,Skaneateles Ski Club,no wikipedia article; private club
big-bear-pa,Ski Big Bear,no wikipedia article; small PA hill
ski-gull,Ski Gull,no wikipedia article; small MN hill
ski-sawmill,Ski Sawmill,no wikipedia article; small PA hill
ski-ward,Ski Ward,no wikipedia infobox; small MA hill
sleeping-giant,Sleeping Giant Ski Area,no wikipedia infobox; no public breakdown
sleepy-hollow,Sleepy Hollow Sports Park,no wikipedia article; mainly nordic/tubing
snow-creek,Snow Creek,vail-owned; no wikipedia article; no public breakdown
snow-ridge,Snow Ridge,no wikipedia article; small NY hill
snow-snake,Snow Snake Mountain,no wikipedia article; small MI hill
snowstar,Snowstar Winter Park,no wikipedia article; small IL hill
snowy-range,Snowy Range Ski Area,wiki gives 27 total only; no breakdown
soda-springs,Soda Springs Mountain Resort,no wikipedia infobox; no public breakdown
soldier-hollow,Soldier Hollow,nordic-only venue (14 trails xc); not alpine
soldier-mountain,Soldier Mountain,no wikipedia infobox; no public breakdown
song-mountain,Song Mountain,no wikipedia infobox; small NY hill
spirit-mountain,Spirit Mountain,wiki gives 22 ski trails total (mixed with bike trails) but no breakdown
spring-mountain,Spring Mountain,no wikipedia article; site lacks breakdown
spruce-mountain-ski-area,Spruce Mountain Ski Area,no public breakdown
steamboat-touring-center,Steamboat Ski Touring Center,nordic touring center; no alpine breakdown
sugar-mountain-resort,Sugar Mountain Resort,no wikipedia infobox found
summit-ski-area,Summit Ski Area,no wikipedia infobox found
sunburst,Sunburst,no wikipedia infobox found
sunburst-area,Sunburst Ski Area,no wikipedia infobox found
sundown-mountain,Sundown Mountain,no wikipedia infobox; site nav only
swain-resort,Swain Resort,no wikipedia infobox found
swiss-valley,Swiss Valley Ski & Snowboard Area,no wikipedia infobox found
tenney-mountain,Tenney Mountain,no wikipedia infobox found
teton-pass,Teton Pass Ski Area,wikipedia infobox: 26 total but no breakdown
homestead-resort,The Homestead,small MI ski hill; no wikipedia infobox
loppet,The Loppet,nordic/cross-country; not alpine
the-omni-homestead-resort,The Omni Homestead Resort,small VA hotel ski hill; no wikipedia
the-rock-snowpark,The Rock Snowpark,no wikipedia infobox
thrill-hills,Thrill Hills,small ND hill; no wikipedia
trapp-family-lodge,Trapp Family Lodge,nordic/cross-country only
treetops-resort,Treetops Resort,no wikipedia ski infobox; golf-focused article
turner-mountain,Turner Mountain Ski Resort,no wikipedia infobox
turpin-meadow-ranch,Turpin Meadow Ranch,nordic/cross-country resort
tussey-mountain,Tussey Mountain,no wikipedia ski infobox
victor-constant-ski-area,Victor Constant Ski Area,small army mwr ski hill; no wikipedia
villa-olivia,Villa Olivia,small IL hill; no wikipedia
warner-canyon,Warner Canyon Ski Area,small OR hill; no wikipedia
whaleback-mountain,Whaleback Mountain,no wikipedia infobox
white-grass-touring,White Grass Ski Touring,nordic/cross-country only
white-pine,White Pine Ski Resort,no wikipedia infobox
white-pine-touring-nordic-center,White Pine Touring Nordic Center,nordic/cross-country only
whitetail-resort,Whitetail Resort,vail-owned; no wikipedia infobox found
willard-mountain,Willard Mountain,no wikipedia infobox
wisp-resort,Wisp Resort,no wikipedia infobox; site nav only
woods-valley,Woods Valley,no wikipedia infobox
woodstock-nordic-center,Woodstock Nordic Center,nordic/cross-country only
woodward-park-city,Woodward Park City,no wikipedia infobox; action sports facility
yellowstone-club,Yellowstone Club,private club; no public infobox breakdown
